id,age_group,game_user,culture_identity,nft_awareness,trust_in_platform,offline_travel_interest,purchase_intention,preferred_rights
501,25-34,0,4,3,2,4,低,景区权益
502,25-34,0,3,3,1,3,低,线下活动
503,25-34,0,3,2,4,1,中低,线下活动
504,18-24,0,5,3,2,4,中低,景区权益
505,35-44,1,5,3,3,5,低,线下活动
506,35-44,1,1,1,2,2,低,景区权益
507,35-44,0,2,2,5,1,中低,线下活动
508,25-34,0,3,5,1,1,低,景区权益
509,25-34,0,4,3,5,3,中高,景区权益
510,18-24,0,1,3,4,1,中高,景区权益
511,25-34,0,4,5,3,4,中低,线下活动
512,25-34,0,3,1,1,4,低,景区权益
513,45+,1,3,2,2,4,低,景区权益
514,45+,1,3,1,3,5,低,景区权益
515,45+,0,3,4,2,5,中低,景区权益
516,35-44,1,4,3,4,1,中高,线下活动
517,18-24,1,1,4,1,5,低,限量收藏
518,25-34,0,3,3,4,5,中低,二创权益
519,18-24,0,5,4,4,3,中低,景区权益
520,18-24,1,1,5,4,5,中低,景区权益
521,25-34,0,5,3,4,2,中高,线下活动
522,35-44,1,4,3,2,2,中低,线下活动
523,25-34,1,3,4,5,2,中低,景区权益
524,18-24,0,1,2,2,1,低,限量收藏
525,18-24,1,3,4,3,4,中高,线下活动
526,18-24,1,3,3,4,3,中高,景区权益
527,18-24,0,1,3,3,1,低,线下活动
528,18-24,0,3,2,2,4,低,景区权益
529,35-44,1,3,1,4,3,低,二创权益
530,35-44,1,2,2,2,3,中低,限量收藏
531,25-34,1,2,1,4,3,低,景区权益
532,35-44,1,1,3,2,2,低,限量收藏
533,18-24,0,1,5,1,2,低,二创权益
534,45+,0,3,5,5,2,中高,线下活动
535,25-34,0,5,4,5,3,中高,景区权益
536,35-44,0,1,2,4,3,低,限量收藏
537,45+,1,3,2,1,2,低,限量收藏
538,35-44,1,5,5,3,3,中高,景区权益
539,18-24,1,2,1,1,2,低,景区权益
540,25-34,1,1,2,4,2,低,限量收藏
541,18-24,0,3,1,1,2,低,限量收藏
542,18-24,0,2,1,3,4,低,景区权益
543,18-24,0,4,1,4,3,中低,线下活动
544,45+,1,2,1,5,1,中低,限量收藏
545,45+,0,3,4,1,2,低,景区权益
546,18-24,1,5,4,5,1,中高,景区权益
547,25-34,1,4,5,5,4,中高,限量收藏
548,45+,0,4,4,2,3,中低,线下活动
549,25-34,0,4,2,3,2,低,线下活动
550,25-34,1,1,4,1,2,中低,景区权益
551,25-34,0,3,2,5,2,中低,限量收藏
552,35-44,1,4,2,5,1,低,二创权益
553,25-34,1,2,1,3,4,低,景区权益
554,35-44,0,5,5,5,3,高,景区权益
555,25-34,0,3,1,5,4,中低,线下活动
556,18-24,0,2,1,5,2,中低,景区权益
557,25-34,1,1,4,5,4,中低,景区权益
558,18-24,0,4,4,2,1,中高,景区权益
559,25-34,1,2,2,2,5,中低,景区权益
560,18-24,1,3,4,4,5,中高,限量收藏
561,35-44,1,2,4,1,3,低,景区权益
562,25-34,0,1,3,3,3,低,二创权益
563,35-44,1,5,2,4,4,中低,限量收藏
564,45+,1,4,2,2,3,低,限量收藏
565,35-44,0,3,3,2,1,低,景区权益
566,45+,1,4,2,2,2,低,线下活动
567,25-34,1,4,5,4,2,高,限量收藏
568,18-24,1,4,5,2,4,低,线下活动
569,45+,0,2,3,4,2,中低,线下活动
570,35-44,1,2,4,2,4,中低,线下活动
571,35-44,0,5,5,5,3,高,限量收藏
572,35-44,1,1,3,5,3,中高,线下活动
573,25-34,1,3,5,1,1,中低,限量收藏
574,18-24,0,2,1,2,2,中低,景区权益
575,35-44,0,4,3,1,1,低,景区权益
576,18-24,1,1,2,4,5,低,二创权益
577,18-24,0,3,5,1,1,中低,景区权益
578,25-34,0,3,2,2,4,低,线下活动
579,25-34,0,3,3,4,4,低,景区权益
580,18-24,1,3,5,4,1,中高,限量收藏
581,35-44,1,5,2,5,3,高,线下活动
582,35-44,1,3,4,4,5,中低,景区权益
583,35-44,1,1,4,4,1,中低,线下活动
584,25-34,1,2,1,1,3,低,线下活动
585,45+,0,1,3,4,1,中低,限量收藏
586,18-24,0,4,2,3,2,低,限量收藏
587,35-44,1,5,1,5,4,中低,景区权益
588,18-24,1,5,3,5,2,高,限量收藏
589,25-34,1,4,4,4,2,中高,景区权益
590,25-34,1,1,2,1,5,低,景区权益
591,35-44,1,1,5,5,3,中高,二创权益
592,18-24,0,4,4,5,4,中高,限量收藏
593,18-24,1,3,5,3,2,中低,线下活动
594,25-34,0,3,5,4,4,中高,限量收藏
595,25-34,0,2,2,5,3,低,景区权益
596,25-34,1,1,2,5,1,低,限量收藏
597,18-24,1,1,5,5,2,中低,线下活动
598,25-34,0,4,1,5,3,中低,景区权益
599,18-24,1,4,5,1,4,中低,线下活动
600,18-24,1,3,5,2,3,中低,限量收藏
601,25-34,1,1,2,3,1,低,景区权益
602,35-44,1,1,3,1,3,低,限量收藏
603,18-24,0,5,4,3,4,中高,限量收藏
604,18-24,1,2,2,5,2,低,景区权益
605,25-34,1,2,1,3,2,低,线下活动
606,18-24,1,3,4,4,5,低,二创权益
607,25-34,1,1,2,4,4,低,线下活动
608,25-34,0,5,2,2,5,低,线下活动
609,18-24,0,1,3,2,5,低,二创权益
610,18-24,1,4,1,3,1,中高,二创权益
611,35-44,0,3,1,1,4,低,景区权益
612,35-44,1,2,2,1,2,低,限量收藏
613,35-44,0,1,3,5,4,中低,景区权益
614,25-34,0,3,2,1,1,低,限量收藏
615,35-44,0,2,5,2,4,低,二创权益
616,45+,1,1,5,1,4,低,景区权益
617,25-34,0,5,3,5,5,高,线下活动
618,18-24,1,3,2,4,4,低,线下活动
619,25-34,0,1,3,1,5,低,景区权益
620,25-34,1,2,2,1,5,低,景区权益
621,25-34,0,2,2,2,3,中低,限量收藏
622,25-34,0,5,5,3,1,中高,景区权益
623,35-44,1,3,4,4,5,低,限量收藏
624,25-34,1,3,1,3,4,中低,限量收藏
625,18-24,0,1,1,5,5,低,限量收藏
626,18-24,1,2,3,5,5,中低,景区权益
627,25-34,0,2,1,3,5,低,限量收藏
628,18-24,0,5,5,2,2,低,景区权益
629,18-24,0,5,4,2,2,中低,二创权益
630,25-34,0,3,2,2,2,中低,景区权益
631,25-34,0,2,2,4,2,低,二创权益
632,45+,0,1,5,5,3,中低,线下活动
633,18-24,1,4,1,5,5,低,线下活动
634,18-24,0,1,2,5,3,低,景区权益
635,18-24,1,5,1,4,4,中低,景区权益
636,25-34,0,1,5,5,1,低,限量收藏
637,18-24,0,2,2,3,3,中低,景区权益
638,25-34,0,3,3,1,2,低,二创权益
639,18-24,1,4,4,4,2,高,限量收藏
640,25-34,1,3,1,1,4,中低,二创权益
641,35-44,1,4,1,3,5,中低,线下活动
642,18-24,0,4,1,2,1,中低,景区权益
643,25-34,1,2,1,2,3,低,线下活动
644,25-34,1,2,5,2,5,低,景区权益
645,35-44,0,5,5,4,5,中高,景区权益
646,25-34,0,5,5,2,3,低,景区权益
647,25-34,0,4,5,4,3,中高,二创权益
648,35-44,1,5,2,4,3,中低,限量收藏
649,25-34,0,2,5,1,3,中低,线下活动
650,25-34,1,5,2,2,2,中低,景区权益
651,18-24,0,4,3,5,5,中高,限量收藏
652,35-44,0,3,5,2,5,中低,景区权益
653,35-44,0,1,3,2,2,中低,景区权益
654,45+,1,5,5,2,5,高,景区权益
655,45+,0,2,3,5,3,中高,限量收藏
656,35-44,0,3,4,5,1,中低,线下活动
657,25-34,1,2,3,4,5,低,景区权益
658,35-44,0,5,2,5,1,低,二创权益
659,25-34,0,4,1,4,1,低,景区权益
660,25-34,0,1,3,1,2,低,限量收藏
661,25-34,0,1,1,4,4,低,景区权益
662,25-34,0,3,4,2,5,低,景区权益
663,35-44,0,1,4,3,2,中低,二创权益
664,25-34,0,4,2,3,2,中低,线下活动
665,18-24,0,2,2,2,1,低,线下活动
666,18-24,1,4,3,4,5,中低,二创权益
667,35-44,0,3,5,2,2,中低,线下活动
668,35-44,0,3,4,5,3,中低,线下活动
669,25-34,0,1,1,4,2,低,线下活动
670,25-34,0,4,5,2,3,中低,限量收藏
671,25-34,1,2,4,5,4,低,限量收藏
672,18-24,1,4,3,5,3,中高,线下活动
673,25-34,0,2,4,4,3,中低,景区权益
674,35-44,1,2,2,1,1,低,二创权益
675,25-34,0,4,1,1,2,中低,景区权益
676,25-34,1,5,1,5,4,中高,二创权益
677,18-24,1,4,2,1,2,中高,景区权益
678,25-34,1,2,5,5,3,低,景区权益
679,18-24,0,3,2,1,3,低,景区权益
680,25-34,0,3,1,5,2,中低,二创权益
681,25-34,0,1,3,5,4,中高,景区权益
682,35-44,0,3,5,5,4,中高,线下活动
683,25-34,0,5,4,5,1,中低,线下活动
684,25-34,1,2,3,3,3,低,景区权益
685,25-34,0,4,5,1,3,中低,二创权益
686,35-44,1,4,1,5,1,中低,景区权益
687,18-24,1,5,1,2,2,中高,限量收藏
688,25-34,1,3,3,4,3,低,限量收藏
689,45+,0,2,5,2,2,中低,景区权益
690,18-24,0,3,4,2,4,低,景区权益
691,25-34,1,1,4,3,5,低,线下活动
692,35-44,1,3,2,1,1,中低,二创权益
693,25-34,1,1,3,3,3,低,景区权益
694,35-44,1,4,5,1,1,低,景区权益
695,18-24,0,2,3,5,4,低,二创权益
696,18-24,0,1,4,3,4,低,景区权益
697,25-34,0,3,5,4,4,中低,限量收藏
698,35-44,1,3,1,1,4,低,限量收藏
699,45+,1,4,1,3,5,低,景区权益
700,18-24,1,5,5,4,2,高,线下活动
701,25-34,1,5,3,2,2,中低,二创权益
702,18-24,1,3,3,5,5,中低,限量收藏
703,18-24,0,5,1,5,2,中低,线下活动
704,25-34,0,2,1,2,4,低,线下活动
705,25-34,1,5,4,3,2,中高,限量收藏
706,18-24,0,2,5,2,1,中低,景区权益
707,18-24,0,3,3,4,2,中低,线下活动
708,25-34,0,3,4,1,1,中低,景区权益
709,45+,0,3,3,3,3,低,景区权益
710,35-44,0,4,1,1,1,低,二创权益
711,18-24,1,5,5,2,1,中高,线下活动
712,35-44,1,1,2,5,4,低,二创权益
713,25-34,1,1,5,1,4,低,景区权益
714,45+,0,3,2,1,4,低,线下活动
715,25-34,1,5,4,5,1,高,限量收藏
716,25-34,1,2,2,1,5,低,二创权益
717,45+,1,1,2,1,4,低,二创权益
718,18-24,1,3,4,5,4,高,二创权益
719,45+,1,1,5,5,1,低,二创权益
720,35-44,0,1,4,2,3,中低,景区权益
721,45+,1,1,1,2,3,低,线下活动
722,25-34,0,3,1,1,2,低,景区权益
723,18-24,0,3,2,3,3,低,线下活动
724,25-34,1,4,4,2,4,中低,二创权益
725,45+,0,4,4,2,5,低,景区权益
726,25-34,0,4,4,3,2,中低,限量收藏
727,25-34,1,1,5,3,5,低,线下活动
728,25-34,1,5,3,5,5,中低,景区权益
729,25-34,0,3,3,2,4,低,景区权益
730,18-24,1,4,3,4,1,高,景区权益
731,25-34,0,5,5,4,1,中低,景区权益
732,35-44,0,4,4,1,1,中低,线下活动
733,18-24,0,4,3,2,3,中高,限量收藏
734,35-44,0,5,4,4,1,中高,景区权益
735,25-34,0,4,2,2,4,中低,二创权益
736,25-34,0,1,3,2,3,低,线下活动
737,25-34,1,1,2,4,1,低,限量收藏
738,18-24,1,1,5,2,5,低,景区权益
739,25-34,1,2,1,3,4,低,线下活动
740,35-44,1,4,5,1,4,中低,景区权益
741,18-24,0,2,5,5,2,中低,线下活动
742,25-34,1,3,5,4,4,中低,线下活动
743,18-24,1,5,3,5,5,中低,景区权益
744,35-44,0,3,2,1,4,中低,二创权益
745,25-34,0,2,3,3,2,中低,限量收藏
746,25-34,1,1,1,3,4,低,限量收藏
747,18-24,1,4,5,3,4,中高,二创权益
748,45+,1,4,4,3,2,中高,限量收藏
749,18-24,0,1,1,4,4,低,线下活动
750,25-34,0,4,2,4,3,中低,线下活动
751,25-34,1,5,1,2,4,中高,景区权益
752,35-44,1,5,3,2,1,高,二创权益
753,18-24,0,5,4,1,1,中低,限量收藏
754,35-44,0,3,3,2,3,低,限量收藏
755,25-34,1,1,5,1,4,中低,二创权益
756,25-34,1,5,5,1,5,中高,限量收藏
757,35-44,0,2,1,1,4,低,线下活动
758,35-44,0,5,5,3,1,中高,线下活动
759,25-34,1,3,5,5,2,中低,景区权益
760,45+,1,2,2,5,3,低,景区权益
761,18-24,0,1,2,4,2,低,景区权益
762,45+,0,1,3,1,5,低,二创权益
763,18-24,1,5,3,3,4,中高,景区权益
764,25-34,0,2,2,2,5,中高,景区权益
765,25-34,1,2,1,2,2,低,景区权益
766,25-34,1,5,2,4,4,中高,景区权益
767,18-24,0,5,3,4,5,中低,线下活动
768,25-34,1,4,4,1,1,低,二创权益
769,18-24,1,4,5,1,1,中低,景区权益
770,25-34,1,5,4,2,3,中高,限量收藏
771,18-24,0,3,4,2,1,低,线下活动
772,25-34,1,4,5,2,1,中低,限量收藏
773,18-24,0,5,2,2,2,中低,二创权益
774,18-24,1,2,1,5,1,中低,限量收藏
775,18-24,1,4,4,1,1,中低,景区权益
776,25-34,0,3,1,1,2,中低,二创权益
777,35-44,1,1,3,2,1,中低,限量收藏
778,45+,1,2,4,3,1,中高,景区权益
779,18-24,0,3,3,2,3,低,景区权益
780,25-34,0,3,2,4,1,中低,二创权益
781,35-44,1,3,4,3,1,中高,线下活动
782,25-34,0,2,3,4,3,低,限量收藏
783,25-34,0,3,3,3,2,中低,线下活动
784,18-24,1,1,2,4,1,低,限量收藏
785,25-34,1,4,1,2,5,低,景区权益
786,25-34,1,2,1,2,2,中低,线下活动
787,18-24,0,3,4,3,2,低,线下活动
788,25-34,0,5,2,4,1,中高,限量收藏
789,25-34,0,4,4,5,3,中低,景区权益
790,18-24,1,2,1,3,2,中低,景区权益
791,25-34,1,5,2,3,3,中高,线下活动
792,35-44,0,5,5,1,5,中低,线下活动
793,35-44,0,3,2,3,3,低,线下活动
794,25-34,1,2,2,5,4,高,线下活动
795,25-34,1,3,5,2,3,中低,线下活动
796,25-34,0,1,3,4,2,低,二创权益
797,25-34,1,5,3,1,3,低,景区权益
798,18-24,0,1,3,4,3,中低,限量收藏
799,25-34,1,3,1,2,4,低,限量收藏
800,25-34,1,4,2,3,4,低,景区权益
801,25-34,1,5,5,5,1,高,线下活动
802,45+,0,4,1,1,2,中低,二创权益
803,35-44,0,2,5,5,1,中低,限量收藏
804,18-24,1,5,1,5,4,中高,二创权益
805,18-24,0,1,1,5,3,低,限量收藏
806,18-24,1,4,1,5,4,高,限量收藏
807,35-44,1,2,5,2,5,中低,限量收藏
808,35-44,1,5,4,5,3,中高,景区权益
809,45+,0,2,1,5,1,低,限量收藏
810,25-34,1,1,3,2,3,低,限量收藏
811,35-44,1,5,2,4,5,低,二创权益
812,25-34,0,2,4,2,4,低,线下活动
813,35-44,0,3,4,3,2,中低,景区权益
814,35-44,0,5,5,2,2,低,景区权益
815,25-34,0,5,4,4,2,高,二创权益
816,25-34,1,5,5,3,4,中高,限量收藏
817,35-44,1,5,5,3,2,高,二创权益
818,25-34,1,3,3,1,5,低,限量收藏
819,18-24,1,1,1,5,4,中低,限量收藏
820,18-24,1,3,4,3,2,中低,线下活动
821,25-34,1,3,1,3,1,低,景区权益
822,25-34,0,2,1,4,4,低,线下活动
823,18-24,1,4,1,3,4,中低,限量收藏
824,18-24,0,4,5,4,3,中高,线下活动
825,25-34,1,2,1,5,2,低,线下活动
826,25-34,0,3,4,1,1,低,景区权益
827,18-24,1,2,5,1,5,低,限量收藏
828,18-24,1,5,4,5,4,中低,景区权益
829,18-24,0,2,5,5,5,中高,景区权益
830,18-24,1,2,2,2,5,低,线下活动
831,35-44,1,5,2,3,5,中高,景区权益
832,18-24,0,4,2,3,3,中低,限量收藏
833,35-44,0,5,2,3,5,中低,景区权益
834,25-34,1,1,5,4,2,中高,景区权益
835,45+,0,2,1,2,2,中低,景区权益
836,18-24,0,2,3,3,1,低,景区权益
837,18-24,0,4,3,4,1,中高,线下活动
838,18-24,0,3,2,4,5,中低,线下活动
839,18-24,0,5,1,1,5,中低,二创权益
840,35-44,0,3,4,4,3,中低,景区权益
841,18-24,0,1,1,5,5,中低,线下活动
842,18-24,0,5,4,4,5,高,线下活动
843,35-44,1,1,3,5,5,中低,景区权益
844,25-34,1,1,1,5,4,低,线下活动
845,18-24,0,1,1,1,4,低,线下活动
846,18-24,1,5,3,1,3,低,限量收藏
847,18-24,0,5,1,4,3,中低,线下活动
848,45+,1,4,4,1,2,中高,限量收藏
849,35-44,0,2,1,1,3,低,景区权益
850,35-44,1,3,4,3,2,中高,限量收藏
851,45+,1,3,2,4,5,中低,二创权益
852,25-34,0,1,1,4,3,低,限量收藏
853,18-24,0,5,4,4,3,中低,限量收藏
854,25-34,1,5,3,1,3,中低,限量收藏
855,35-44,0,1,2,1,2,低,线下活动
856,35-44,0,2,1,5,2,中低,线下活动
857,25-34,0,3,4,2,1,中低,景区权益
858,25-34,0,4,1,2,2,中高,线下活动
859,45+,0,2,4,2,2,低,限量收藏
860,18-24,0,5,1,3,4,中高,限量收藏
861,35-44,0,1,2,1,3,低,限量收藏
862,18-24,0,3,2,5,2,中低,线下活动
863,25-34,1,1,1,5,3,低,线下活动
864,18-24,1,5,1,2,3,低,线下活动
865,25-34,1,1,5,3,4,低,限量收藏
866,25-34,1,3,1,3,3,中高,景区权益
867,25-34,1,1,1,2,2,低,景区权益
868,35-44,1,3,2,2,3,中低,二创权益
869,25-34,1,1,1,1,1,低,限量收藏
870,35-44,0,1,3,3,1,低,限量收藏
871,18-24,1,3,1,5,4,中低,线下活动
872,35-44,0,1,5,2,2,低,景区权益
873,18-24,1,2,4,1,4,低,二创权益
874,18-24,0,4,2,5,1,中高,线下活动
875,18-24,1,2,3,3,2,低,线下活动
876,25-34,0,4,4,2,3,中低,景区权益
877,35-44,0,2,3,2,2,低,限量收藏
878,18-24,0,4,2,1,5,低,景区权益
879,25-34,0,1,5,1,2,低,限量收藏
880,35-44,0,3,2,3,3,中高,线下活动
881,25-34,0,3,3,2,5,中低,景区权益
882,35-44,0,5,3,1,4,中低,线下活动
883,18-24,0,4,2,2,2,中低,限量收藏
884,35-44,1,5,1,3,4,中高,线下活动
885,18-24,0,5,2,2,2,中低,限量收藏
886,45+,0,4,5,5,1,中高,景区权益
887,25-34,1,3,2,2,1,中低,景区权益
888,35-44,1,4,4,4,3,高,二创权益
889,18-24,0,1,1,4,1,低,限量收藏
890,18-24,0,5,4,3,5,中低,限量收藏
891,18-24,1,5,2,3,5,低,景区权益
892,25-34,0,4,1,3,2,低,景区权益
893,18-24,0,5,4,5,4,中低,线下活动
894,35-44,1,3,4,5,5,中低,线下活动
895,18-24,0,5,1,2,2,中高,景区权益
896,35-44,1,4,1,1,4,低,限量收藏
897,18-24,0,3,3,4,1,低,景区权益
898,18-24,1,3,1,4,2,低,二创权益
899,35-44,1,5,2,4,4,中低,限量收藏
900,35-44,0,4,5,2,3,低,线下活动
901,25-34,1,5,3,2,3,低,线下活动
902,18-24,1,1,1,3,5,中低,二创权益
903,25-34,0,1,5,1,4,低,二创权益
904,25-34,1,3,3,3,3,低,景区权益
905,18-24,0,5,2,2,5,低,二创权益
906,25-34,1,1,5,5,2,中低,二创权益
907,25-34,0,2,1,3,2,低,限量收藏
908,18-24,0,1,1,2,4,低,线下活动
909,45+,0,5,2,2,4,高,线下活动
910,35-44,0,5,3,5,4,中高,线下活动
911,18-24,0,1,5,5,4,低,景区权益
912,25-34,1,5,2,5,3,中高,线下活动
913,18-24,1,5,3,1,3,低,景区权益
914,35-44,0,2,4,2,5,低,线下活动
915,25-34,0,3,4,5,3,低,二创权益
916,18-24,1,5,3,1,2,中高,线下活动
917,18-24,0,4,1,4,5,中低,限量收藏
918,18-24,0,3,1,4,3,低,线下活动
919,25-34,0,3,4,4,4,中高,景区权益
920,35-44,0,4,1,2,3,低,限量收藏
921,18-24,0,1,1,1,1,低,线下活动
922,18-24,1,2,3,1,5,低,景区权益
923,25-34,1,5,3,4,3,中低,景区权益
924,18-24,0,1,1,3,3,低,线下活动
925,25-34,1,4,3,4,2,中低,限量收藏
926,25-34,1,2,5,2,4,中低,二创权益
927,35-44,0,2,4,4,4,低,景区权益
928,45+,0,2,5,4,2,中低,景区权益
929,45+,0,4,5,1,2,中低,线下活动
930,25-34,0,1,1,4,1,低,线下活动
931,35-44,0,5,1,5,5,中低,限量收藏
932,45+,0,2,5,5,4,中低,线下活动
933,18-24,0,2,5,3,2,中低,限量收藏
934,18-24,1,1,2,2,2,低,线下活动
935,18-24,1,2,2,2,5,低,景区权益
936,25-34,0,2,4,1,2,中低,景区权益
937,35-44,1,4,5,2,1,中高,景区权益
938,25-34,1,3,3,3,5,中低,景区权益
939,25-34,1,1,2,5,1,低,景区权益
940,25-34,0,1,1,1,3,低,景区权益
941,18-24,0,1,5,5,4,中低,二创权益
942,25-34,1,4,3,3,2,高,景区权益
943,18-24,0,4,3,1,5,低,景区权益
944,18-24,0,5,3,4,1,中高,线下活动
945,35-44,1,4,1,2,4,低,限量收藏
946,35-44,1,1,2,3,4,低,限量收藏
947,35-44,1,5,3,1,2,中低,限量收藏
948,35-44,0,3,2,5,4,低,限量收藏
949,35-44,0,2,4,1,2,低,景区权益
950,35-44,1,2,1,4,3,低,景区权益
951,25-34,0,5,2,3,2,中低,二创权益
952,25-34,0,3,2,1,1,低,景区权益
953,25-34,0,2,3,3,4,低,景区权益
954,25-34,1,5,3,3,4,中高,限量收藏
955,35-44,1,4,1,5,4,中低,景区权益
956,18-24,1,1,2,2,2,低,限量收藏
957,25-34,0,3,5,4,5,中低,线下活动
958,25-34,0,2,3,1,2,低,二创权益
959,18-24,0,1,3,2,1,低,线下活动
960,45+,1,5,4,5,2,中低,景区权益
961,18-24,0,2,1,2,4,低,二创权益
962,18-24,0,1,2,3,3,低,景区权益
963,18-24,1,4,2,3,1,中低,景区权益
964,35-44,0,3,2,4,3,中高,限量收藏
965,25-34,0,5,3,1,1,低,线下活动
966,25-34,1,2,1,1,1,低,景区权益
967,35-44,0,4,2,5,4,中低,线下活动
968,25-34,0,3,5,4,2,低,二创权益
969,18-24,0,3,4,1,4,中低,景区权益
970,18-24,0,4,4,3,4,高,线下活动
971,35-44,0,2,2,4,4,低,限量收藏
972,25-34,1,3,3,2,3,中高,限量收藏
973,18-24,0,5,4,4,1,中低,景区权益
974,18-24,1,1,4,4,5,低,限量收藏
975,18-24,0,5,4,1,2,中低,景区权益
976,25-34,0,3,4,5,4,中低,线下活动
977,18-24,0,1,2,5,1,低,二创权益
978,18-24,1,4,1,1,2,中低,二创权益
979,25-34,0,1,1,1,5,低,景区权益
980,35-44,1,1,3,1,5,低,景区权益
981,35-44,1,1,5,5,4,低,限量收藏
982,25-34,1,3,1,1,5,低,线下活动
983,35-44,1,2,5,2,5,中低,二创权益
984,25-34,0,3,1,2,2,低,线下活动
985,45+,1,2,1,3,2,低,限量收藏
986,18-24,1,4,3,2,4,中高,景区权益
987,25-34,1,4,4,4,1,高,线下活动
988,25-34,0,4,3,3,4,中高,景区权益
989,18-24,1,4,1,2,3,中低,景区权益
990,35-44,0,4,4,4,5,中低,二创权益
991,18-24,0,5,4,2,1,低,限量收藏
992,25-34,1,3,4,4,2,中低,景区权益
993,25-34,1,2,5,1,3,低,限量收藏
994,18-24,1,4,1,4,3,低,景区权益
995,25-34,1,5,2,1,5,中低,线下活动
996,25-34,0,5,3,4,2,中高,景区权益
997,35-44,0,5,5,4,1,中高,二创权益
998,35-44,1,3,3,2,2,低,景区权益
999,18-24,0,4,2,4,5,中高,限量收藏
1000,25-34,1,5,4,2,3,低,景区权益
